date,tp,1,2,3,4,5
2019/9/1,don,451831.3362,1641194.124,0,0,0
2019/10/1,don,306864.1246,702287.9063,0,0,0
2019/11/1,don,206746.373,459618.3034,0,0,0
2019/12/1,don,133617.2274,456866.6565,0,0,0
2020/1/1,don,79258.02703,459216.0499,0,0,0
2020/2/1,don,133757.2178,546223.9271,0,0,0
2020/3/1,don,530399.6158,2771079.404,0,0,0
2020/4/1,don,1153054.058,2795175.747,0,0,0
2020/5/1,don,1555585.964,1646483.013,0,0,0
2020/6/1,don,1768300.776,3905162.111,0,0,0
2020/7/1,don,328903.9443,2041924.076,0,0,0
2020/8/1,don,328510.1417,1118371.503,0,0,0
2020/9/1,don,350255.668,857149.6594,0,0,0
2020/10/1,don,510827.6258,761625.1501,0,0,0
2020/11/1,don,78879.93417,352214.6858,0,0,0
2020/12/1,don,203464.6846,686263.8385,0,0,0
2016/1/1,cp,351140.6653,988351.6541,0,0,0
2016/2/1,cp,519008.5576,849213.0885,0,0,0
2016/3/1,cp,361674.8853,682177.5004,0,0,0
2016/4/1,cp,479137.1014,1465893.232,0,0,0
2016/5/1,cp,628541.7909,1573842.58,0,0,0
2016/6/1,cp,761182.3454,1741397.988,0,0,0
2016/7/1,cp,505642.558,692920.4531,0,0,0
2016/8/1,cp,235264.2458,487192.9077,0,0,0
2016/9/1,cp,587877.4364,2843417.013,0,0,0
2016/10/1,cp,509153.9647,1063552.323,0,0,0
2016/11/1,cp,203208.5011,540613.1067,0,0,0
2016/12/1,cp,211737.8212,398026.3998,0,0,0
2017/1/1,cp,239829.0744,252996.5375,0,0,0
2017/2/1,cp,238186.6423,169807.963,0,0,0
2017/3/1,cp,187860.2559,633834.2129,0,0,0
2017/4/1,cp,360202.3599,602991.5421,0,0,0
2017/5/1,cp,274943.1409,380300.5278,0,0,0
2017/6/1,cp,567488.6236,2037695.556,0,0,0
2017/7/1,cp,575870.6911,1106524.134,0,0,0
2017/8/1,cp,386254.7318,1305268.761,0,0,0
2017/9/1,cp,211364.0263,451204.016,0,0,0
2017/10/1,cp,62503.03842,207338.9883,0,0,0
2017/11/1,cp,17738.26716,135153.2767,0,0,0
2017/12/1,cp,90945.43231,147178.4528,0,0,0
2018/1/1,cp,83220.33768,289522.5769,0,0,0
2018/2/1,cp,90707.56283,147490.345,0,0,0
2018/3/1,cp,82166.91568,245476.4706,0,0,0
2018/4/1,cp,115196.7925,405459.83,0,0,0
2018/5/1,cp,163280.4094,357740.327,0,0,0
2018/6/1,cp,383989.3082,1257965.114,0,0,0
2018/7/1,cp,270729.4529,843321.7918,0,0,0
2018/8/1,cp,261950.9363,929265.4139,0,0,0
2018/9/1,cp,404378.121,1486686.043,0,0,0
2018/10/1,cp,209982.1179,470004.1833,0,0,0
2018/11/1,cp,144080.944,490710.3584,0,0,0
2018/12/1,cp,204363.8672,386746.2994,0,0,0
2019/1/1,cp,136593.7188,327660.0592,0,0,0
2019/2/1,cp,166508.6381,482739.7805,0,0,0
2019/3/1,cp,495108.3381,923893.9375,0,0,0
2019/4/1,cp,307531.2601,956469.3426,0,0,0
2019/5/1,cp,247554.169,692920.4531,0,0,0
2019/6/1,cp,645645.7394,2297605.704,0,0,0
2019/7/1,cp,832203.3768,2089504.312,0,0,0
2019/8/1,cp,247554.169,649948.6421,0,0,0
2019/9/1,cp,106021.8267,322808.4031,0,0,0
2019/10/1,cp,84624.90034,140195.5335,0,0,0
2019/11/1,cp,59467.37074,84210.88778,0,0,0
2019/12/1,cp,30549.23788,77349.25988,0,0,0
2020/1/1,cp,17521.9192,64994.86421,0,0,0
