,1-5_a,10-12_a,11-12_a,4-9_a,6-11_a,6-9-2_a,6-9_a,8-10_a,9-11_a,9-10_a,5-6_a,1-5_b,10-12_b,11-12_b,4-9_b,6-11_b,6-9-2_b,6-9_b,8-10_b,9-11_b,9-10_b,5-6_b,sea_a,sea_b
7022,18250000,608000000,293000000,75620000,379000000,116200000,98652600,27280000,361300000,0,131688000,0,0,0,0,0,0,0,0,0,50830000,0,967040000,0
7023,18430000,490000000,258000000,77820000,345300000,102600000,93399700,29755000,305700000,0,118617000,0,0,0,0,0,0,0,0,0,38280000,0,776660000,0
7024,13460000,248000000,133000000,48560000,181700000,49100000,56614000,26767000,186000000,0,65087000,0,0,0,0,0,0,0,0,0,27030000,0,360080000,0
7025,0,0,0,0,0,0,0,12407000,0,0,0,1940000,168000000,104000000,23710000,114800000,57000000,31016000,0,50900000,7680000,34864000,0,343470000
7026,0,0,0,0,0,0,0,0,0,26410000,0,13000000,638000000,224000000,58960000,329300000,111000000,79812000,18686000,310600000,0,103009000,0,959940000
7027,0,0,0,0,0,0,0,0,0,23490000,0,12720000,688000000,264000000,61700000,371000000,110700000,85855400,26728000,345900000,0,114864000,0,1042310000
7028,0,0,0,0,0,0,0,0,0,17340000,0,11780000,578000000,198000000,53690000,292200000,92500000,72877900,26550000,289800000,0,97286000,0,848760000
7029,0,0,0,0,0,0,0,0,0,14930000,0,10350000,512000000,191000000,45930000,246300000,82400000,61857700,24391000,265000000,0,81518000,0,762830000
7030,0,0,0,0,0,0,0,0,0,3620000,0,9000000,305000000,88000000,37950000,143600000,57300000,47102000,21201000,172300000,0,60526000,0,395870000
7031,0,0,65000000,0,0,0,0,0,0,0,0,7050000,34000000,0,21490000,7200000,10700000,18671000,14384000,18200000,17530000,15919000,87940000,0
7032,0,292000000,203000000,9200000,144200000,47700000,22552000,2081000,172300000,0,39082000,950000,0,0,0,0,0,0,0,0,35770000,0,595710000,0
7033,10010000,602000000,262000000,43220000,305500000,89000000,67168400,16340000,322700000,0,94881000,0,0,0,0,0,0,0,0,0,50870000,0,977040000,0
7034,17070000,654000000,302000000,68210000,378700000,113500000,95386400,25018000,380200000,0,129030000,0,0,0,0,0,0,0,0,0,57670000,0,1049410000,0
7035,19960000,593000000,299000000,83580000,393200000,118200000,103524200,30563000,359900000,0,136133000,0,0,0,0,0,0,0,0,0,48480000,0,946050000,0
7036,18030000,442000000,233000000,75210000,318700000,93700000,89440000,31103000,285700000,0,109833000,0,0,0,0,0,0,0,0,0,35760000,0,683220000,0
7037,9150000,114000000,51000000,25970000,72200000,13300000,28596000,24860000,119700000,0,29854000,0,0,0,0,0,0,0,0,0,23950000,0,125560000,0
7038,0,0,0,0,0,0,0,1547000,0,4080000,0,8600000,348000000,179000000,47170000,215800000,89400000,60366000,0,157000000,0,69776000,0,609620000
7039,0,0,0,0,0,0,0,0,0,27800000,0,13090000,708000000,224000000,61120000,359200000,113700000,83872000,23465000,340700000,0,110878000,0,1027320000
7040,0,0,0,0,0,0,0,0,0,19490000,0,12340000,637000000,236000000,59240000,343500000,102700000,81361730,27140000,321000000,0,108985000,0,947490000
7041,0,0,0,0,0,0,0,0,0,12680000,0,11100000,505000000,170000000,48950000,253100000,82100000,65141670,25487000,256800000,0,86316000,0,733170000
7042,0,0,0,0,0,0,0,0,0,8210000,0,9520000,398000000,146000000,40990000,199400000,69300000,53476600,22658000,215500000,0,69666000,0,567640000
7043,0,0,0,0,0,0,0,0,0,0,0,7820000,126000000,11000000,28480000,60900000,30100000,30197000,17761000,80600000,9690000,35853000,0,106640000
7044,0,169000000,129000000,950000,87300000,29700000,10299000,0,96600000,0,22422000,2080000,0,0,0,0,0,0,4540000,0,27070000,0,373220000,0
7045,7970000,467000000,230000000,34830000,242000000,77500000,53706800,12545000,259900000,0,75861000,0,0,0,0,0,0,0,0,0,38240000,0,791570000,0
