sta,time,num,num_new,p,no3,nh4,cha
东吾洋内,2020-10-13,8,3,18.5,0.344,0.002L,1.7
官井洋,2020-11-3,6,1,42.7,0.5347,0.02933,0.6867
宁德东冲半岛西,2020-10-13,10,4,8.4,0.4463,0.01067,1.7033
三都澳城澳港口,2020-10-13,11,4,17,0.27,0.002L,3.74
三都澳金蛇头,2020-10-13,7,1,52.2,0.816,0.284,2.41
三都澳口,2020-10-13,11,4,9.4,0.2985,0.00225,3.82
三都澳口外,2020-11-22,12,5,40.2,0.314,0.01275,0.56
三都澳上鼻头角,2020-10-13,9,3,15.3,0.466,0.002L,2.605
三都澳湾坞,2020-10-13,3,2,12,0.847,0.002L,1.8
三都澳湾坞北,2020-10-13,2,2,10.2,0.852,0.002L,2.11
三都澳云淡,2020-10-13,1,1,17.5,0.704,0.005,3.755
三都澳漳湾,2020-11-3,1,1,34.4,0.6215,0.067,0.66
三都东冲半岛西,2020-10-13,10,4,10.5,0.384,0.002L,3.78
三都镇南,2020-10-13,6,1,21.7,0.625,0.019,2.26
盐田港,2020-10-13,4,2,14.7,0.703,0.002L,2.4
盐田港白马角,2020-10-13,4,2,25.3,0.6065,0.002L,2.385
盐田港口,2020-10-13,9,3,8.8,0.4475,0.002L,3.045
漳湾横屿东,2020-10-13,1,1,36.7,0.573,0.031,1.77
