,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14
18996,7696000,39400000,65400000,13180000,67800000,155300000,214700000,24440000,18140000,0,0,64280000,0,0
18997,57740000,146500000,447400000,79840000,609400000,1175000000,1284700000,183860000,108280000,0,0,164000000,0,0
18998,47760000,107000000,332000000,67370000,506330000,867600000,925100000,147610000,87570000,0,0,147000000,0,0
18999,7610000,1900000,9200000,16240000,83070000,0,0,14780000,13160000,0,0,35000000,10100000,56100000
19000,152240000,89680000,0,0,144000000,0,0,45810000,119200000,354800000,63780000,496670000,965900000,1072400000
19001,172780000,106170000,0,0,174000000,0,0,60190000,118900000,394500000,84650000,542050000,925700000,980400000
19002,7610000,15620000,0,0,76000000,0,29500000,5560000,0,13200000,3220000,131980000,17400000,0
19003,56120000,146100000,437200000,77560000,590370000,1163600000,1282400000,177740000,105860000,0,0,156000000,0,0
19004,52120000,124200000,379200000,74150000,568570000,1017800000,1101800000,166210000,98200000,0,0,163000000,0,0
19005,22210000,35600000,82500000,35780000,200380000,187700000,154800000,54960000,37220000,0,0,67000000,0,0
19006,136050000,76100000,0,0,135000000,0,0,40250000,111400000,330800000,50860000,468440000,961900000,1092800000
19007,233510000,138650000,0,0,225000000,0,0,75930000,160800000,528200000,106180000,713490000,1291100000,1398700000
19008,133660000,86400000,0,0,181000000,0,0,52077000,85400000,308200000,72030000,496020000,694700000,696300000
19009,46927000,131700000,351200000,68790000,366470000,898100000,1014700000,141760000,90660000,0,0,66000000,0,0
19010,64810000,155800000,500700000,89170000,691160000,1307700000,1423500000,208310000,121540000,0,0,191000000,0,0
19011,41090000,86400000,237800000,60330000,422730000,620600000,635500000,119690000,72900000,0,0,129000000,0,0
19012,69660000,35550000,0,0,56000000,0,0,17830000,65900000,186200000,19100000,224330000,575900000,684800000
19013,226990000,133680000,0,0,217000000,0,0,71390000,159500000,521600000,98700000,703400000,1316400000,1434900000
19014,169210000,106690000,0,0,193000000,0,0,63601000,113400000,386900000,88130000,562970000,868500000,890100000
19015,33941000,103600000,259200000,50650000,215330000,662900000,771600000,103350000,67100000,0,0,17100000,0,0
19016,70210000,174900000,561800000,96310000,759450000,1482000000,1621300000,228750000,133460000,0,0,206000000,0,0
19017,49770000,113800000,316600000,72770000,533050000,851500000,895400000,152120000,91430000,0,0,159000000,0,0
19018,26960000,6220000,0,5460000,43280000,0,0,3670000,29400000,100800000,0,107300000,359800000,464400000
19019,228190000,131530000,0,0,223000000,0,0,70190000,165300000,538600000,92270000,735930000,1436500000,1595000000
19020,251090000,152880000,0,0,245000000,0,0,87517000,170000000,569800000,123960000,755190000,1288000000,1352000000
19021,6595000,47600000,52700000,7620000,93000000,147600000,231400000,23170000,12850000,0,0,114630000,0,0
19022,74502000,188400000,595400000,102500000,777640000,1555600000,1710900000,238960000,140700000,0,0,205000000,0,0
19023,60770000,142700000,429100000,85680000,656970000,1145800000,1229300000,190870000,112830000,0,0,190000000,0,0
19024,21680000,27000000,46100000,34900000,175520000,72100000,5500000,44840000,32980000,0,0,62000000,0,0
19025,194830000,110740000,0,0,190000000,0,0,57880000,150400000,479100000,74090000,652630000,1342100000,1512900000
19026,285580000,170600000,0,0,270000000,0,0,96534000,195400000,646900000,135080000,846200000,1502000000,1593900000
