time,1,2,3,4,5
1511760,1902607039,969853190.7,1812939346,4441534552,2355959206
1512000,1634023384,806384508.2,1582459346,4206814552,2248159206
1512240,1450149728,665035825.7,1357179346,4109164552,2231959206
1512480,1902456073,970017143.2,1803789346,4471714552,2377359206
1512720,1859422417,939428460.7,1813919346,4374454552,2314459206
1512960,1488588761,700329778.2,1417479346,4130274552,2233659206
1513200,1798485106,907201095.7,1710099346,4395234552,2344059206
1513440,1795771450,903842413.2,1740149346,4331104552,2296959206
1513680,1423147795,658513730.7,1346189346,4065964552,2206459206
1513920,1771554139,881255048.2,1678769346,4398784552,2353059206
1514160,2007800483,1027116366,1958149346,4489644552,2358559206
1514400,1497566828,717067683.2,1450239346,4105484552,2214159206
1514640,1669813172,811579000.7,1580099346,4318014552,2319759206
1514880,1961589517,1000590318,1899049346,4460724552,2349859206
1515120,1467805861,700971635.7,1416669346,4070254552,2197459206
1515360,1630522206,777012953.2,1537519346,4299394552,2316359206
1515600,2114038550,1094504271,2026399346,4571654552,2399659206
1515840,1566784894,766275588.2,1535499346,4129284552,2212559206
1516080,1526401239,704856905.7,1434139346,4206294552,2279059206
1516320,2060237583,1065808223,1955389346,4545804552,2394759206
1516560,1582863928,777649540.7,1549379346,4134694552,2212259206
1516800,1487490272,676800858.1,1394299346,4172744552,2267759206
1517040,2133826617,1110562176,2012159346,4612434552,2427659206
1517280,1680582961,837563493.1,1657569346,4195114552,2229559206
1517520,1397049305,620834810.6,1305139346,4071754552,2223559206
1517760,2054325650,1060486128,1930549346,4584664552,2424659206
1518000,1748231994,878107445.6,1721049346,4243884552,2247559206
1518240,1380508339,612918763.1,1292249346,4047444552,2211559206
1518480,2070694683,1066880081,1942589346,4614504552,2442259206
1518720,1829481027,926581398.1,1806219346,4294134552,2262559206
1518960,1314617372,577602715.6,1238509346,3956934552,2168059206
1519200,1968663716,992464033.1,1849359346,4576524552,2435059206
1519440,1954370061,999465350.6,1923809346,4388914552,2299559206
1519680,1336206405,599266668.1,1278129346,3964904552,2167059206
1519920,1952912750,979467985.6,1837199346,4575174552,2437059206
1520160,2008579094,1031759303,1977109346,4423854552,2309859206
1520400,1282945438,578310620.6,1237379346,3876714552,2123059206
1520640,1847631783,894291938.1,1737919346,4534254552,2426559206
1520880,2236138127,1161293256,2197549346,4611264552,2376859206
1521120,1364844472,638424573.1,1349609346,3936714552,2140359206
1521360,1816150816,876865890.6,1714179346,4500144552,2413159206
1521600,2178687161,1131477208,2135089346,4563234552,2366359206
1521840,1312323505,613858525.6,1290889346,3857164552,2099159206
1522080,1680969849,772589843.1,1579239346,4420884552,2388059206
1522320,2446086194,1291811161,2355019346,4789014552,2450759206
1522560,1479982538,720392478.1,1494859346,3987544552,2141159206
1522800,1669258883,771623795.5,1577619346,4393124552,2373759206
1523040,2420795227,1278135113,2326939346,4773304552,2444659206
1523280,1435031572,700786430.5,1448389346,3914714552,2102959206
1523520,1505647916,659047748,1408599346,4256374552,2318359206
1523760,2514024260,1345699066,2355249346,4870244552,2505859206
1524000,1672560605,843090383,1700279346,4098334552,2169059206
1524240,1517566949,677701700.5,1434619346,4237924552,2308859206
1524480,2405213294,1279653018,2264639346,4782254552,2472559206
1524720,1569269638,783974335.5,1580439346,4013424552,2133159206
1524960,1351155982,572945653,1256679346,4065974552,2236259206
1525200,2372282327,1253556971,2196259346,4813704552,2513159206
1525440,1784328671,905108288,1792649346,4206464552,2214459206
1525680,1405125016,617969605.5,1324309346,4094594552,2241859206
1525920,2316231360,1219980923,2159169346,4768564552,2487859206
1526160,1746357705,888642240.5,1749949346,4150544552,2182859206
1526400,1258914049,530893558,1172299346,3911834552,2161859206
1526640,2211290393,1136654875,2051129346,4762714552,2505759206
1526880,2301676738,1204666193,2291599346,4625494552,2319859206
1527120,1388683082,634797510.5,1374299346,4002804552,2186359206
1527360,2109419427,1084238828,1982849346,4661524552,2466459206
1527600,1860205771,947680145.5,1843389346,4287204552,2248559206
1527840,1227382116,531161463,1158289346,3830694552,2113659206
1528080,1957078460,963002780.5,1832899346,4621594552,2460059206
1528320,2263164804,1175064098,2235699346,4615694552,2368659206
1528560,1391001149,645285415.5,1377159346,3985624552,2166259206
1528800,1908497493,949446732.9,1801859346,4543514552,2423159206
1529040,2030483838,1044858050,1995009346,4445114552,2319559206
1529280,1273070182,579129367.9,1231889346,3848324552,2104859206
1529520,1729426526,811400685.4,1625729346,4446604552,2393459206
1529760,2348332871,1229672003,2282199346,4720804552,2427859206
1530000,1486199215,717323320.4,1486619346,4033114552,2171659206
1530240,1705065560,812274637.9,1613009346,4387154552,2362959206
1530480,2163781904,1123875955,2104559346,4582234552,2385659206
1530720,1387738249,660817272.9,1364329346,3938014552,2129159206
1530960,1531234593,687878590.4,1431949346,4250984552,2305559206
1531200,2266520937,1193899908,2140439346,4682234552,2447359206
1531440,1614597282,797181225.4,1602449346,4139514552,2208659206
1531680,1524683626,698162542.9,1434139346,4213404552,2285959206
1531920,2149589971,1121563860,2035919346,4606564552,2418859206
1532160,1567436315,771835177.9,1544919346,4093994552,2187759206
1532400,1380842660,604296495.4,1285319346,4069374552,2225759206
1532640,2115949004,1096447813,1982359346,4634424552,2446659206
1532880,1815895348,916619130.4,1795309346,4295804552,2267859206
1533120,1404371693,631900447.9,1324089346,4063014552,2213759206
1533360,1995048037,1023581765,1879729346,4550764552,2413459206
1533600,1799704809,908171909.6,1768069346,4288184552,2265959206
1533840,1324222008,585260880.6,1245039346,3966474552,2169559206
1534080,1903299207,951939851.5,1791909346,4526214552,2412759206
1534320,2033596407,1043008823,1997219346,4470104552,2338259206
1534560,1383003606,639797793.5,1340029346,3994964552,2171459206
1534800,1781090805,870286764.5,1681199346,4436084552,2376659206
1535040,2053438004,1055865735,2006759346,4497864552,2351059206
1535280,1375375203,642764706.4,1336039346,3965714552,2153559206
1535520,1688172402,799303677.4,1589559346,4376724552,2358559206
1535760,2208729602,1150182648,2138669346,4621244552,2407659206
1536000,1468236801,707781619.3,1449059346,4021414552,2164359206
1536240,1563034000,715130590.3,1467549346,4265744552,2309459206
1536480,2205161199,1155099561,2095429346,4633134552,2423459206
1536720,1533048398,749588532.2,1514959346,4066694552,2178459206
1536960,1496975598,672407503.2,1402559346,4201614552,2283859206
1537200,2243652797,1179576474,2111369346,4677524552,2450159206
1537440,1621689996,804795445.1,1610339346,4122164552,2193759206
1537680,1382007195,602714416.1,1288789346,4073044552,2229359206
1537920,2170834394,1130253387,2029259346,4666374552,2457459206
1538160,1749321593,879432358.1,1734339346,4224194552,2232859206
1538400,1372748793,603421329,1285619346,4045764552,2213059206
1538640,2145075992,1111410300,2006349346,4665284552,2462959206
1538880,1808903191,915649271,1793579346,4261454552,2243559206
1539120,1283960390,555658241.9,1205069346,3922064552,2155659206
1539360,2037967589,1028977213,1907029346,4643944552,2462459206
1539600,2086004789,1076746184,2062279346,4467754552,2315159206
1539840,1344021988,605185154.9,1302789346,3961354552,2163759206
1540080,1981889187,996424125.8,1864139346,4596064552,2446559206
1540320,2008656386,1031623097,1980129346,4416474552,2304259206
1540560,1262563585,566442067.8,1217719346,3846724552,2109359206
1540800,1841530784,884531038.7,1730969346,4539484552,2430759206
1541040,2311427984,1202540010,2274239346,4673274552,2393359206
1541280,1393225183,656498980.7,1388669346,3956454552,2145959206
1541520,1826442382,883577951.7,1726089346,4507604552,2414559206
1541760,2190229581,1137126923,2149029346,4572594552,2367759206
1542000,1312846780,614315893.6,1293359346,3853124552,2095959206
1542240,1653753980,755394864.6,1551699346,4392164552,2374759206
1542480,2423951179,1280993836,2324769346,4775364552,2451759206
1542720,1505388378,734322806.5,1516979346,4015854552,2154759206
1542960,1672685577,779051777.5,1581379346,4380594552,2364659206
1543200,2302932776,1208420748,2224259346,4680864552,2422259206
1543440,1409489975,679679719.4,1404359346,3921114552,2111959206
1543680,1495587175,655778690.4,1396029346,4236214552,2305859206
1543920,2416014374,1286697661,2263639346,4794924552,2481259206
1544160,1652691573,827596632.3,1665059346,4112094552,2184259206
1544400,1543568772,699015603.3,1457409346,4251114552,2307759206
1544640,2279525971,1201494574,2159059346,4685594552,2444959206
1544880,1514593171,743803545.3,1506949346,4014894552,2147059206
1545120,1375730370,589622516.2,1278109346,4089644552,2242859206
1545360,2304187569,1212311487,2141509346,4758564552,2484559206
1545600,1809674768,919880458.2,1809939346,4235544552,2226559206
1545840,1455301967,652599429.1,1373809346,4137694552,2255959206
1546080,2200169166,1151968400,2067779346,4664154552,2449559206
1546320,1636226366,815337371.1,1623489346,4121784552,2189559206
1546560,1311183565,560116342,1215899346,3988704552,2192059206
1546800,2137740764,1101365313,1993199346,4678764552,2468859206
1547040,1921217963,981714284,1905809346,4344094552,2274559206
1547280,1414805162,636273255,1344979346,4072644552,2219459206
1547520,2076452362,1072592226,1951479346,4605544552,2434759206
1547760,1752929561,882851196.9,1730349346,4229304552,2235659206
1548000,1290036760,557560167.9,1203619346,3935284552,2160459206
1548240,1961903959,986949138.8,1841319346,4570494552,2432159206
1548480,1983431158,1014008110,1952509346,4421884552,2317259206
1548720,1413438357,646457080.8,1357379346,4052124552,2202959206
1548960,1940955557,985766051.8,1831869346,4527174552,2406459206
1549200,1855852756,941755022.7,1820859346,4328364552,2280359206
1549440,1302989955,578823993.7,1233529346,3928454552,2149859206
1549680,1823927154,894282964.7,1717689346,4476864552,2394659206
1549920,2075874353,1067581936,2034029346,4511344552,2356459206
1550160,1449371553,680350906.6,1409369346,4066204552,2201959206
1550400,1814108752,902249877.6,1717879346,4441924552,2372559206
1550640,1942765951,991048848.6,1896499346,4415714552,2319759206
1550880,1350023150,620267819.5,1295309346,3961194552,2156959206
1551120,1702480349,815516790.5,1604099346,4375064552,2352859206
1551360,2124567548,1097975761,2063829346,4566654552,2387959206
1551600,1517614748,730374732.4,1485279346,4107824552,2211859206
1551840,1690601947,820683703.4,1600679346,4342294552,2332259206
1552080,1993499146,1019462674,1935819346,4476044552,2351959206
1552320,1431956345,679141645.4,1385569346,4026824552,2177359206
1552560,1595173544,747740616.3,1499609346,4274434552,2306259206
1552800,2117260744,1097439587,2021229346,4576494552,2403759206
1553040,1614827943,792848558.3,1583719346,4178194552,2234959206
1553280,1575325142,744997529.2,1486839346,4237694552,2287859206
