date and time,S1,S2,S3,S4,S5
2016-01-06 03:00:00,10.90615,12.44575,13.06265,13.29285,13.2979
2016-01-06 04:00:00,10.8473,12.5061,12.9833,13.2767,13.3034
2016-01-06 05:00:00,10.8359,12.735949999999999,12.9387,13.27545,13.30405
2016-01-06 06:00:00,10.8245,12.9658,12.8941,13.2742,13.3047
2016-01-06 07:00:00,10.769,12.8879,12.9155,13.26425,13.30495
2016-01-06 08:00:00,10.7135,12.81,12.9369,13.2543,13.3052
2016-01-06 09:00:00,10.848849999999999,12.6129,13.022400000000001,13.270900000000001,13.2808
2016-01-06 10:00:00,10.9842,12.4158,13.1079,13.2875,13.2564
2016-01-06 11:00:00,11.02685,12.4363,13.1424,13.29475,13.252199999999998
2016-01-06 12:00:00,11.0695,12.4568,13.1769,13.302,13.248
2016-01-06 13:00:00,11.051449999999999,12.44555,13.14785,13.293849999999999,13.24765
2016-01-06 14:00:00,11.0334,12.4343,13.1188,13.2857,13.2473
2016-01-06 15:00:00,10.981300000000001,12.510349999999999,13.02795,13.27225,13.266449999999999
2016-01-06 16:00:00,10.9292,12.5864,12.9371,13.2588,13.2856
2016-01-06 17:00:00,10.8604,12.976199999999999,12.88215,13.251149999999999,13.2852
2016-01-06 18:00:00,10.7916,13.366,12.8272,13.2435,13.2848
2016-01-06 19:00:00,10.74315,13.485399999999998,12.81855,13.23825,13.27995
2016-01-06 20:00:00,10.6947,13.6048,12.8099,13.233,13.2751
2016-01-06 21:00:00,10.69065,13.0759,12.898150000000001,13.2318,13.244150000000001
2016-01-06 22:00:00,10.6866,12.547,12.9864,13.2306,13.2132
2016-01-06 23:00:00,10.855599999999999,12.4891,13.0364,13.249600000000001,13.20485
2016-01-07 00:00:00,11.0246,12.4312,13.0864,13.2686,13.1965
2016-01-07 01:00:00,11.04355,12.44115,13.0964,13.2525,13.193249999999999
2016-01-07 02:00:00,11.0625,12.4511,13.1064,13.2364,13.19
2016-01-07 03:00:00,11.012699999999999,12.428799999999999,13.0371,13.2279,13.19405
2016-01-07 04:00:00,10.9629,12.4065,12.9678,13.2194,13.1981
2016-01-07 05:00:00,10.90905,12.604800000000001,12.896799999999999,13.2133,13.2158
2016-01-07 06:00:00,10.8552,12.8031,12.8258,13.2072,13.2335
2016-01-07 07:00:00,10.76355,12.971150000000002,12.81015,13.20525,13.23235
2016-01-07 08:00:00,10.6719,13.1392,12.7945,13.2033,13.2312
2016-01-07 09:00:00,10.6774,12.839500000000001,12.85875,13.187650000000001,13.1664
2016-01-07 10:00:00,10.6829,12.5398,12.923,13.172,13.1016
2016-01-07 11:00:00,10.848849999999999,12.48485,12.9968,13.19645,13.0373
2016-01-07 12:00:00,11.0148,12.4299,13.0706,13.2209,12.973
2016-01-07 13:00:00,11.025749999999999,12.44355,13.06935,13.18585,12.962250000000001
2016-01-07 14:00:00,11.0367,12.4572,13.0681,13.1508,12.9515
2016-01-07 15:00:00,10.95275,12.455300000000001,12.972999999999999,13.16135,13.0149
2016-01-07 16:00:00,10.8688,12.4534,12.8779,13.1719,13.0783
2016-01-07 17:00:00,10.751999999999999,12.69405,12.79735,13.1647,13.123750000000001
