sta_num,from,zone,zone_new,date,year,mon,day_real,month,no,nh,cha
SS19,haiyang,4,4,2015/10/14,2015,10,14,11,0.345,0.044,
SS20,haiyang,3,3,2015/10/14,2015,10,14,11,0.332,0.019,
SS21,haiyang,3,0,2015/10/14,2015,10,14,11,0.254,0.02,
SS22,haiyang,3,3,2015/10/14,2015,10,14,11,0.218,0.042,
SS23,haiyang,4,5,2015/10/14,2015,10,14,11,0.308,0.025,
SS24,haiyang,4,5,2015/10/14,2015,10,14,11,0.234,0.038,
SS08,haiyang,2,2,2016/3/9,2016,3,9,2,0.474,0.068,
SS09,haiyang,2,2,2016/3/9,2016,3,9,2,0.463,0.068,
SS10,haiyang,2,2,2016/3/9,2016,3,9,2,0.451,0.054,
SS11,haiyang,2,1,2016/3/10,2016,3,10,2,0.458,0.077,
SS15,haiyang,1,1,2016/3/8,2016,3,8,2,0.421,0.065,
SS17,haiyang,1,1,2016/3/8,2016,3,8,2,0.393,0.06,
SS18,haiyang,4,4,2016/3/8,2016,3,8,2,0.429,0.068,
SS19,haiyang,4,4,2016/3/8,2016,3,8,2,0.418,0.057,
SS20,haiyang,3,3,2016/3/8,2016,3,8,2,0.416,0.051,
SS21,haiyang,3,0,2016/3/8,2016,3,8,2,0.394,0.052,
SS22,haiyang,3,3,2016/3/8,2016,3,8,2,0.412,0.053,
SS22,haiyang,3,3,2016/3/8,2016,3,8,2,0.296,0.042,
SS23,haiyang,4,5,2016/3/8,2016,3,8,2,0.378,0.05,
SS24,haiyang,4,5,2016/3/8,2016,3,8,2,0.374,0.045,
SS08,haiyang,2,2,2016/5/9,2016,5,9,5,0.424,0.046,
SS09,haiyang,2,2,2016/5/9,2016,5,9,5,0.428,0.042,
SS10,haiyang,2,2,2016/5/9,2016,5,9,5,0.421,0.045,
SS11,haiyang,2,1,2016/5/9,2016,5,9,5,0.439,0.053,
SS15,haiyang,1,1,2016/5/10,2016,5,10,5,0.351,0.05,
SS16,haiyang,1,1,2016/5/10,2016,5,10,5,0.322,0.046,
SS17,haiyang,1,1,2016/5/11,2016,5,11,5,0.31,0.043,
SS18,haiyang,4,4,2016/5/11,2016,5,11,5,0.312,0.042,
SS19,haiyang,4,4,2016/5/11,2016,5,11,5,0.297,0.045,
SS20,haiyang,3,3,2016/5/10,2016,5,10,5,0.294,0.04,
SS21,haiyang,3,0,2016/5/11,2016,5,11,5,0.304,0.042,
SS23,haiyang,4,5,2016/5/11,2016,5,11,5,0.29,0.032,
SS24,haiyang,4,5,2016/5/11,2016,5,11,5,0.31,0.036,
SS08,haiyang,2,2,2016/8/17,2016,8,17,8,0.233,0.04,
SS09,haiyang,2,2,2016/8/17,2016,8,17,8,0.237,0.045,
SS10,haiyang,2,2,2016/8/17,2016,8,17,8,0.215,0.047,
SS11,haiyang,2,1,2016/8/15,2016,8,15,8,0.24,0.049,
SS15,haiyang,1,1,2016/8/15,2016,8,15,8,0.195,0.042,
SS16,haiyang,1,1,2016/8/15,2016,8,15,8,0.188,0.046,
SS17,haiyang,1,1,2016/8/15,2016,8,15,8,0.193,0.044,
SS18,haiyang,4,4,2016/8/18,2016,8,18,8,0.17,0.039,
SS19,haiyang,4,4,2016/8/18,2016,8,18,8,0.161,0.037,
SS20,haiyang,3,3,2016/8/18,2016,8,18,8,0.154,0.04,
SS21,haiyang,3,0,2016/8/18,2016,8,18,8,0.146,0.04,
SS22,haiyang,3,3,2016/8/18,2016,8,18,8,0.149,0.045,
SS23,haiyang,4,5,2016/8/18,2016,8,18,8,0.167,0.036,
SS24,haiyang,4,5,2016/8/18,2016,8,18,8,0.212,0.037,
SS08,haiyang,2,2,2016/10/18,2016,10,18,11,0.351,0.042,
SS09,haiyang,2,2,2016/10/19,2016,10,19,11,0.283,0.04,
SS10,haiyang,2,2,2016/10/19,2016,10,19,11,0.378,0.035,
SS11,haiyang,2,1,2016/10/17,2016,10,17,11,0.343,0.033,
SS15,haiyang,1,1,2016/10/17,2016,10,17,11,0.339,0.037,
SS16,haiyang,1,1,2016/10/17,2016,10,17,11,0.335,0.034,
SS17,haiyang,1,1,2016/10/18,2016,10,18,11,0.248,0.032,
